Ligand ID,Mode,Affinity (kcal/mol),RMSD Lower Bound,RMSD Upper Bound
ligand_60992470_docking,4,-5.64,8.937,11.3
ligand_60992470_docking,5,-5.632,9.116,10.96
ligand_60992470_docking,6,-5.622,8.145,9.595
ligand_60992470_docking,7,-5.586,11.38,13.79
ligand_60992470_docking,8,-5.522,11.0,13.5
ligand_60992470_docking,9,-5.38,11.06,13.16
ligand_10994009_docking,1,-7.614,0.0,0.0
ligand_10994009_docking,2,-7.553,2.077,3.567
ligand_10994009_docking,3,-7.097,5.083,8.936
ligand_10994009_docking,4,-7.049,6.213,9.129
ligand_10994009_docking,5,-7.036,6.967,10.14
ligand_10994009_docking,6,-7.01,3.19,4.932
ligand_10994009_docking,7,-6.92,6.875,9.474
ligand_10994009_docking,8,-6.907,5.157,8.698
ligand_10994009_docking,9,-6.867,6.304,10.1
ligand_8171716_docking,1,-6.789,0.0,0.0
ligand_8171716_docking,2,-6.758,4.968,7.446
ligand_8171716_docking,3,-6.742,3.006,9.156
ligand_8171716_docking,4,-6.586,4.829,9.093
ligand_8171716_docking,5,-6.58,4.775,7.64
ligand_8171716_docking,6,-6.562,2.982,8.145
ligand_8171716_docking,7,-6.529,2.949,5.549
ligand_8171716_docking,8,-6.528,3.297,4.516
ligand_8171716_docking,9,-6.405,4.91,8.735
ligand_126787028_docking,1,-7.914,0.0,0.0
ligand_126787028_docking,2,-7.879,2.109,2.939
ligand_126787028_docking,3,-7.438,2.001,2.209
ligand_126787028_docking,4,-7.328,1.799,2.123
ligand_126787028_docking,5,-7.249,11.98,15.17
ligand_126787028_docking,6,-6.971,11.87,14.82
ligand_126787028_docking,7,-6.928,2.179,2.543
ligand_126787028_docking,8,-6.839,2.713,3.611
ligand_126787028_docking,9,-6.614,10.53,13.82
ligand_20181641_docking,1,-7.763,0.0,0.0
ligand_20181641_docking,2,-6.612,2.634,5.974
ligand_20181641_docking,3,-6.603,12.83,15.79
ligand_20181641_docking,4,-6.301,2.267,2.876
ligand_20181641_docking,5,-6.274,5.16,6.836
ligand_20181641_docking,6,-6.122,3.149,6.143
ligand_20181641_docking,7,-5.934,10.3,12.3
ligand_20181641_docking,8,-5.863,11.03,12.8
ligand_20181641_docking,9,-5.817,15.15,17.66
ligand_101591590_docking,1,-6.652,0.0,0.0
ligand_101591590_docking,2,-6.195,1.915,6.388
ligand_101591590_docking,3,-5.999,1.725,6.043
ligand_101591590_docking,4,-5.826,2.88,7.103
ligand_101591590_docking,5,-5.821,3.287,6.977
ligand_101591590_docking,6,-5.629,1.388,1.972
ligand_101591590_docking,7,-5.528,1.995,6.538
ligand_101591590_docking,8,-5.438,10.59,13.51
ligand_101591590_docking,9,-5.236,1.454,2.204
ligand_97416680_docking,1,-6.73,0.0,0.0
ligand_97416680_docking,2,-6.704,0.5862,1.646
ligand_97416680_docking,3,-6.484,2.674,6.147
ligand_97416680_docking,4,-5.476,3.398,5.651
ligand_97416680_docking,5,-5.431,3.642,5.46
ligand_97416680_docking,6,-5.424,3.604,5.805
ligand_97416680_docking,7,-5.348,3.409,4.294
ligand_97416680_docking,8,-5.258,4.055,5.543
ligand_97416680_docking,9,-5.193,2.134,2.717
ligand_112994779_docking,1,-7.583,0.0,0.0
ligand_112994779_docking,2,-7.4,1.738,2.282
ligand_112994779_docking,3,-7.111,3.848,4.765
ligand_112994779_docking,4,-7.067,3.784,5.729
ligand_112994779_docking,5,-6.95,5.238,7.83
ligand_112994779_docking,6,-6.916,2.462,3.42
ligand_112994779_docking,7,-6.899,3.432,4.456
ligand_112994779_docking,8,-6.384,5.223,10.88
ligand_112994779_docking,9,-6.374,4.701,9.632
ligand_27760463_docking,1,-6.592,0.0,0.0
ligand_27760463_docking,2,-6.171,0.3312,1.978
ligand_27760463_docking,3,-6.107,2.423,3.251
ligand_27760463_docking,4,-6.084,5.892,7.7
ligand_27760463_docking,5,-6.045,6.171,9.489
ligand_27760463_docking,6,-5.948,2.578,3.519
ligand_27760463_docking,7,-5.836,2.958,7.47
ligand_27760463_docking,8,-5.692,1.687,2.072
ligand_27760463_docking,9,-5.668,2.015,3.017
ligand_54813400_docking,1,-7.433,0.0,0.0
ligand_54813400_docking,2,-7.39,0.2374,1.695
ligand_54813400_docking,3,-6.826,1.509,2.47
ligand_54813400_docking,4,-6.3,1.561,2.049
ligand_54813400_docking,5,-6.213,4.06,10.2
ligand_54813400_docking,6,-6.078,1.582,1.854
ligand_54813400_docking,7,-6.067,4.464,10.72
ligand_54813400_docking,9,-5.966,5.07,10.44
ligand_121860614_docking,1,-7.788,0.0,0.0
ligand_121860614_docking,2,-7.56,1.716,2.256
ligand_121860614_docking,3,-6.864,13.21,16.1
ligand_121860614_docking,4,-6.333,6.697,8.126
ligand_121860614_docking,5,-6.182,5.818,6.67
ligand_121860614_docking,6,-6.013,6.923,8.493
ligand_121860614_docking,7,-6.003,6.733,8.444
ligand_121860614_docking,8,-5.858,3.915,5.977
ligand_121860614_docking,9,-5.832,3.494,9.743
ligand_18333599_docking,1,-8.067,0.0,0.0
ligand_18333599_docking,2,-7.986,1.278,2.033
ligand_18333599_docking,3,-7.573,1.32,2.491
ligand_18333599_docking,4,-7.02,10.07,13.23
ligand_18333599_docking,5,-7.003,1.48,2.726
ligand_18333599_docking,6,-6.971,9.45,12.41
ligand_18333599_docking,7,-6.925,9.727,12.2
ligand_18333599_docking,8,-6.917,11.06,14.35
ligand_18333599_docking,9,-6.903,15.45,17.97
ligand_64083131_docking,1,-6.952,0.0,0.0
ligand_64083131_docking,2,-6.219,1.451,2.061
ligand_64083131_docking,3,-5.354,2.11,5.626
ligand_64083131_docking,4,-5.292,2.107,5.635
ligand_64083131_docking,5,-5.228,1.498,2.496
ligand_64083131_docking,6,-5.095,12.48,16.26
ligand_64083131_docking,7,-4.941,2.512,6.566
ligand_64083131_docking,8,-4.829,2.349,6.116
ligand_64083131_docking,9,-4.796,13.25,16.39
ligand_7139515_docking,1,-7.764,0.0,0.0
ligand_7139515_docking,2,-7.316,3.09,6.529
ligand_7139515_docking,3,-7.217,3.395,6.643
ligand_7139515_docking,4,-7.161,3.365,6.736
ligand_7139515_docking,5,-6.584,12.44,14.98
ligand_7139515_docking,6,-6.563,3.275,7.153
ligand_7139515_docking,7,-6.281,3.954,5.944
ligand_7139515_docking,8,-6.045,12.85,15.35
ligand_7139515_docking,9,-5.962,3.481,5.804
ligand_59320489_docking,1,-6.989,0.0,0.0
ligand_59320489_docking,2,-6.667,2.009,5.519
ligand_59320489_docking,3,-6.61,1.696,5.787
ligand_59320489_docking,4,-6.552,1.35,1.735
ligand_59320489_docking,5,-6.425,1.938,5.012
ligand_59320489_docking,6,-6.209,1.957,5.213
ligand_59320489_docking,7,-5.895,1.932,2.436
ligand_59320489_docking,8,-5.4,2.382,5.556
ligand_59320489_docking,9,-5.21,13.2,16.57
ligand_119196779_docking,1,-7.3,0.0,0.0
