cid	canonicalsmiles
141532352	CCOC(=O)CCNC1=CC=C(C=C1)CO
141759441	C1=CC=C(C=C1)COC(=O)CC(N)I
141856857	COC1=C(C=CC(=C1)CNC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)N)O
140027594	C1=CC=C(C=C1)COC(=O)CC(N)N
139553957	COC1=C(C=CC(=C1)CNC(=O)C2CC(CN2C(=O)C(CCC3=CC=CC=C3)N)O)CN
139554265	COC1=C(C=CC(=C1)CNC(=O)C2CC(CN2C(=O)C(CCC3=CC=CC=C3)N)O)CN
165933239	C1=CC=C(C=C1)COC(=O)NC(CCC2=CNN=C2)C(=O)O
169608451	C1=CC=C(C=C1)COC(=O)CCNCCO
170223671	CNC(=O)CNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)O
130155006	C1=CC=C(C=C1)COC(=O)COC(=O)CN
133891290	CCNC(=O)CN(CC)C(=O)C1=CC=C(C=C1)C
133727285	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CCNC(=O)C2=CSC=C2
163930060	CC1=CC=C(C=C1)CNC(=O)C2CCCN2C(=O)C3=CC(=CC=C3)N
54327420	C1=CC=C(C=C1)COC(=O)CCNC=O
53367337	CCOC(=O)CNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)Cl
53985127	C1=CC=C2C(=C1)C(=CS2)NCC(=O)O
57272580	C1=CC=C(C=C1)COC(=O)CNCCCN
59526690	C1=CC=C(C=C1)COC(=O)N(CCO)C2=CC=CC=C2
47079591	CCN(CC)C(=O)CNC(=O)C1=CC=C(C=C1)NC(=O)NC2CC2
39361400	CCN(CC1=CC=CS1)C2=CC=CC(=C2)C(=O)O
40709974	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3C(=O)N2
56457344	COC1=CC=C(C=C1)NC(=O)C2CSCN2C(=O)C3=CC(=NN3)C4=CC(=CC=C4)Cl
56099594	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC=CC=C2C(=O)N(CC)CC
56142163	CN1CCN(CC1)C2=C(C=CC=N2)CNC(=O)C3CCCN3C(=O)CC4=CC=CS4
54815306	CCNC(=O)C1=CC=C(C=C1)NC(=O)CNCCC2=CCCCC2
54815549	CCCNC(=O)C1=CC=C(C=C1)NC(=O)CNCCC2=CCCCC2
55149107	COC1=CC=C(C=C1)COC(=O)C2CCCN2
84266146	CN(CCC(=O)O)C(=O)CCNC1=C2C(=CSC2=NC=N1)C3=CC=C(C=C3)F
86927533	C1=CC=C(C=C1)CN(CCO)C(=O)CCNC(=O)C2=CSC=C2
85777898	C1=CC=C(C=C1)COC(=O)CNCC#N
87519234	C1=CC=C(C=C1)COC(=O)C2C(N2)C3=CC=CC=C3
78969056	COC1=CC=C(C=C1)COC(=O)C2CCCN2
79034945	COC1=CC=C(C=C1)COC(=O)C2CCCCN2
93518813	C1=CC=C(C=C1)C(C(=O)C2=CN=CC=C2)N
107861762	C1=CC=C(C=C1)C(CO)NC(=O)C2=CC(=NN2)N
110407370	C1CCN(CC1)C2=CC=C(C=C2)NC(=O)CNC(=O)CCC3=CC=CS3
108874570	CCNC(=O)NCCC(=O)C1=CC=C(C=C1)C
119045505	CCNC(=O)C1=CC(=CC=C1)NC(=O)CN(CC)C2=CC3=C(C=C2)NC=C3
113000119	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=C(C=C2)F
113000120	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=C(C=C2)Cl
110839374	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CNC
121860669	CCNC(=O)CN(CC)C(=O)CC1=CC=C(C=C1)C(=O)O
120225188	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CC2=CC=CC=C2C(=O)O
114010155	C1=CC=C(C=C1)C(CO)NC(=O)C2=CC(=NN2)N
115599809	CCN(CC)C(=O)CNC(=O)CC1=CC=C(C=C1)C#N
103667667	C1=CC=C(C=C1)COC(=O)NC(CC(=O)O)C2=CN=CC=C2
103667707	C1=CC=C(C=C1)COC(=O)NC(CC(=O)O)C2=CN=CC=C2
2079783	C1=CNC(=C1)C(=O)COC(=O)CNC(=O)C2=CC=C(C=C2)F
7148235	CC1=CC(=CC(=C1)NC(C2=CC=CS2)C(=O)O)C
7148237	CC1=CC(=CC(=C1)NC(C2=CC=CS2)C(=O)O)C
781350	C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=C(C=C2)N
7899207	C1=CNC(=C1)C(=O)COC(=O)CNC(=O)C2=CC=C(C=C2)Cl
8171686	COC1=CC=C(C=C1)C(=O)COC(=O)C2=CC(=NN2)C3=CC=CC=C3
